Name,Wish
Parents,"To our biggest blessing we could ever receive.... our favorite (and only) daughter..
HAPPY BIRTHDAY !!🎉🎉
You deserve everything this world can offer and more. We hope you get it all because you're beyond worthy.
May God continue to keep you happy and healthy 🙏
We ❤️ you so much"
Brodi,"You always scold me, but i will never ever scold you. I admit i will always be your immature and ""dont know anything"" brother. Love you, always ❤"
Yodas,"Happy bday ci!! Semoga kita cepet keluar dari penderitaan S2 ini 😭, sehat dan bahagia selalu cici. Jadilah ci shanice periang yg aku tau hahaha"
Leti,Happy birthday ci shannn! Wish u all the best ya ❤️
rissa,Hepi besdeii cici manissss🫶🫶 have a great year ahead and all the best for this year birthday! Keep being you ci!🥰 grateful to know you🌸 Buddha bless you always🙏🫶
Pida,"Happiest birthdayy ci cianiss 🫶🏻🫶🏻
Hope all you wishes come trueee 
Semangatt kerjain thesisnyaa
Cie bentar lagi lulusss, goodluck menghadapi dunia kerjaa WKWKWK 🫣
Panjangg umurr, sehattt teruss, HAPPY TERUS POKOKNYAAA 
Super"" grateful bisa kenal cici through ITBC 🫶🏻
Buddha bless you alwayss 🙏🏻
Lopyuu cii 🫶🏻"
Ander,"Happy birthday ci shanice!!! Semoga anda sehat selalu, panjang umur, diberkati dengan karma baik dan juga selalu menjadi cici yg happy happy terus!! Semoga pertemanan kita berlanjut sampai di Indo sampai aku bs bertemu Jesselyn MCI 8, dan juga memperbanyak foto bersama dan cover lagu hehe. Happy Birthday!!"
arie,happy birthday shannn!! semoga tahun ini jd tahun yang penuh kenangan indah dan semua keinginanmu jadi kenyataan
Witt,"Happy birthday shanice!🎉🥳
Semoga sehat selalu, bahagia selalu, dan sukses selalu. All the best & GBU!🙏"
margo,"Happy B'day Shanice
Bahagia sehat sukses
Wish U happy mentally, physically, financially "
Lingg,"Haiii sisturr, 

Happy 24th Birthdayyy 🩷, thanks for being my magnet lately ehehhe. Happy that you're my best friend even after all these years. Just know that you shine the most bright when you're being you. I hope that you be more confident, more humble, more wiser, more matureeee. Stayyy prettyyyy. And semoga tambahh cuan cuan cuan teruss yess! Really missing you, so I hope we can meet each other soon. And I hope that we can bestie travel lagiii wkwkkwkw. Wishing you all the best always ya sis. God bless you always ✨💕"
Bebob,Makin ganteng cowoknya
Natha ,"Semoga jalannya dimuluskan, apa yang diinginkan juga pelan-pelan bisa dicapai dan juga selalu sehat terus ya cii, biar bisa ketemu lagi kedepannya… BBU"
Dana,"Met ultah Baby shanicee!😘 semoga panjang umur, sehat, sukses, happy dan ga overthinking2 lagi. atau minimal overthingkingnya berubah jadi overthinking-nya Kelley 🤣. All the best ya buat kamu! Buddha bless you!"
Adel,"Hepi besdeii shan, all the best yaaa, and semoga wish kamu tercapai yaaa 😍
And jiayouu untuk thesis nyaaa, you can do it!! 🙌"
Evan,Happy Birthday Shanice!!! Wish you all the best yaa!! Good karma bless you!! Semoga makin sukses dan sehat selaluuu. Feel free kalo mau tanya soal statisics lagi gua open 24 jam kok hahahaha. Jangan lupa kabarin ya kalo pulang indo lagi!!
Chris Ganteng,"Wish u all the best yaaaaa, Buddha Bless You, semangattt dikit lg lulusss"
Jess,"Anis kuuuuu, happiest birthday. youre one of the sweetest purest souls i know and i hope you receive nothing but only the best moving forward ♥️ love love love you! come back to indo soooooon ♥️"
bensee,"Selamat ulang tahun orang baiq, orang baik yang suka bantu orang lain (termasuk bantu aku waktu laper dengan indomie tupperware ahaha)! Semoga umurmu panjang, rezekimu lancar, dan panci untuk masak Indomienya makin awet. pantun lagi ga sehh

Pergi ke warung beli kerupuk,
Pulangnya bawa Indomie sekardus.
Selamat ulang tahun, semoga hidupmu seru terus,
Tapi jangan lupa traktir, biar langsung lulus. ahahayy"
jenni cute,"cici happy bday, happy netas day, happy shanice day😘 another year, make shanice hotter, smarter, and buddhist-er😌 seneng sekali bisa ada ci shanice di 2 tahun ku ini, cheers for another upcoming years too😘 wish you all the best ci ofc! 

just want to remind you of something so important: always remember to love yourself, just as much as we love you🫶 you are so WORTHY of all the love and happiness that comes your way! dont let insecurities or obstacles hold you back from shining as brightly as you deserve okeyyyyy. 

ONCE AGAIN HAPPY BDAY DARI JENNI😘😘😘
LOPE YOU CI SHANICE KUU😘😘"
Wawan ,"Happy birthday Shanice, semoga selalu berbahagia. "
Septi,"Happy Bdayy cishann🥳🥂 Panjang Umur Sehat Selalu, Bahagia selalu, semoga selalu diberikan kemudahan dalam hal study maupun kerjaa! semogaa semakin cantik, semakin bahagiaa selalu dalam Dhamma dan yang terpenting selalu ada untuk ITBC🤩🤩😍😍 "
jesslyn,"happy birthday ci shanice yg selalu cantik dan gemesinnn, sehat selalu panjang umur smeoga selalu hepi and cheerful! semoga lulus dengan lancar dan all the good things come to your life hehe! lop uu ci shanicee 🩷🥳"
Richard,"Happy birthday
Sukses dan sehat selalu!"
Gos,Happy Birthday Shan ! Smoga semua urusan beres and segala planning ke depan lancar~
Ko,"Happy birthday Shan! 
Semoga apapun yang kamu semogain tercapai ya! 🙈
Because you deserve the best! 🔥☄️"
Darren,"Happy birthday shanice semoga panjang umur, sehat selalu dan lancar terus perjalanannya! Stay positive dan juga see you in the future"
natnat,"bunga mawar yang indah ku petik,
harumnya semerbak menyejukkan hati.
selamat ulang tahun, Ce Shanice cantik,
semoga bahagia dan selalu berseri🫶🏻"
Kathryn,"Happy biryjday ci shan, stay bubbly as ever and smogaa thesisnya lancar dan dpt kerjaan yg diinginkan atau tbtb jadi kayaa juga mantap tuh! Bahagia dan sehat selalu ciiii🫶🏻"
Alvin,Happy birthday Shanice! All the best
Anti kesayangan ci shanice," happy birthday ci shanicee yang imut, manis, alisnyaa sangat bagoes, baik sm perhatian. Semogaaa kedepannya happy terus sama apapun pilihan cici, semoga sehat selalu and langgengg terus sm koko nicholson. ( and also langgeng sayang sama antinya ) ❤️"
Ricky,"Happy birthday shanice uda lama kita ga ngobrol kapan kapan ketemu lagi yak, moga moga bisa bangun karir yang sukses impian lu bisa digapai satu per satu, yang gigih yang tekun keep your heads up apapun bisa tercapaii! Amin Wkwkwkwkwkwk happy birthday shanice👍👍🥳"
